Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,1,5,14,2,2,2
2015,20,6,20,14,1,1,1
2015,4,1,5,14,1,1,4
2015,1,6,1,14,1,1,1
2015,3,7,10,14,2,1,2
2015,4,6,4,14,1,1,4
2015,1,6,1,14,1,1,1
2015,8,6,8,14,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,4,6,4,14,1,1,1
2015,4,6,4,14,1,1,3
2015,4,6,4,14,1,4,1
2015,4,6,4,14,1,1,1
2015,12,6,12,14,1,1,1
2015,4,6,10,14,1,4,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,11,6,11,14,5,1,6
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,10,6,10,14,1,4,6
2015,1,6,1,14,1,1,1
2015,0,2,2,14,1,1,1
2015,3,4,7,14,1,1,2
2015,7,32,39,15,1,4,1
2015,1,6,1,14,1,1,1
2015,43,6,43,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,1,2,14,1,1,1
2015,3,1,4,14,1,1,3
2015,2,6,2,14,1,1,2
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,0
2015,13,6,13,14,1,1,1
2015,43,6,43,14,6,17,20
2015,19,6,19,0,1,2,11
2015,3,6,3,14,1,1,2
2015,3,6,3,14,1,3,2
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,2,2,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,5,6,5,11,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,7,7,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,17,6,17,0,5,1,5
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,19,22,14,1,1,2
2015,1,6,1,14,1,1,1
2015,1,5,6,14,1,1,1
2015,2,24,26,14,2,1,10
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,7,6,7,100,1,1,1
2015,5,6,5,14,1,1,1
2015,1,6,1,14,1,1,1
2015,3,6,3,14,1,1,1
2015,1,6,1,14,1,1,1
2015,1,6,1,14,1,1,1
2015,2,6,2,14,1,1,1
2015,1,6,1,14,1,1,1
