Reported case,Reported day,Reported Month,Reported Year,Region of Incident,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,UNSD Geographical Grouping,Latitude,Length
2017-06-26,26,6,2017,2,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Unspecified location in the Sahara desert, Suda",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,14.229899969788999,34.7440031875
2017-06-26,26,6,2017,5,2,6,2,14,2,1,1,Suffocatio,"Séguédine, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,20.2,12.9833333
2017-06-25,25,6,2017,5,1,51,52,23,1,1,1,Exposure,"Desert near Seguedine, Niger",IOM Niger,4,Western Africa,Western Africa,20.767782728417,13.06221859375
2017-06-25,25,6,2017,1,2,6,2,229,1,1,1,Unknown,Unspecified location off the coast of Libya,"IOM Italy, Ministerio de Defensa de España",5,Central Mediterranea,Uncategorized,34.8505039,17.5484844
2017-06-25,25,6,2017,3,1,6,1,14,1,1,1,Unknown,"Dos Palomas Ranch, near Falfurrias, Brooks County, Texas",U.S. Border Patrol / South Texas Human Rights Center,5,Central America to US,Northern America,27.137349947354004,-98.232284228125
2017-06-25,25,6,2017,5,2,6,2,14,1,2,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,16.9741689,7.986535
2017-06-25,25,6,2017,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Kano, Nigeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,12.0021794,8.5919561
2017-06-24,24,6,2017,1,1,6,1,14,1,1,1,Drowning,"Body retrieved in Tajoura, east of Tripoli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8631624,13.4367761
2017-06-24,24,6,2017,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Lagos, Nigeria",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,6.5243793,3.3792057
2017-06-23,23,6,2017,3,1,6,1,14,1,1,1,Exposure,"Near Bentsen State Park, Mission, Hidalgo County, Texas",KRGV,3,Central America to US,Northern America,26.2024694,-98.4030222
2017-06-22,22,6,2017,1,1,6,1,71,1,1,1,Drowning,"Unspecified location off the coast of Calabria, Italy",Wesud,1,Central Mediterranea,Uncategorized,35.362145603321,16.32440644375
2017-06-22,22,6,2017,5,6,6,6,14,1,6,1,"Dehydration, Suffocatio","Dao, Niger, near the border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,20.566667,13.533333
2017-06-22,22,6,2017,11,1,6,1,14,1,1,1,Sho,"Sarwan, Sistan and Baluchestan province, Ira",IOM Afghanista,4,Southern Asia,Southern Asia,27.3526033,62.3447815
2017-06-21,21,6,2017,11,1,6,1,14,1,1,1,Unknown,"Jamia Nagar district, Delhi, India",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Southern Asia,Southern Asia,28.575817,77.277431
2017-06-21,21,6,2017,11,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Jamia Nagar district, Delhi, India",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Southern Asia,Southern Asia,28.575817,77.277431
2017-06-21,21,6,2017,7,1,6,1,14,1,1,1,Train Accident,"Train tracks near La Amapa, Rosario, Sinaloa",Línea Directa,1,Central America to US,Central America,23.0902207,-106.1527717
2017-06-21,21,6,2017,1,18,6,18,2,1,1,1,Drowning,"Bodies recovered near Garabulli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.750388,13.7145856
2017-06-21,21,6,2017,1,5,6,5,14,1,5,1,Drowning,"Bodies recovered in Tajoura, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8596005,13.4340859
2017-06-21,21,6,2017,2,1,6,1,5,1,1,1,Excessive Physical Abuse,"On the road between Sebha and Ashshwayrif, Libya",IOM DTM Libya,4,Northern Africa,Northern Africa,27.0420458,14.4553448
2017-06-20,20,6,2017,1,3,6,3,14,1,1,1,Drowning,"20 miles north of Zuwara, Libya","Jugend Rettet, Proactiva Open Arms",4,Central Mediterranea,Uncategorized,32.9366507,12.087716
2017-06-20,20,6,2017,1,1,6,1,14,1,1,1,Drowning,"Body retrieved in Playa Castillejos, Morocco, near the border with Ceuta, Spai",Africapress Photonews,1,Western Mediterranea,Uncategorized,35.8255136,-5.7245056
2017-06-20,20,6,2017,3,1,6,1,14,1,1,1,Dehydratio,"Body found in Faith Ranch, near El Indio, Maverick County, Texas",Zócalo,3,Central America to US,Northern America,28.5085892,-100.3105718
2017-06-20,20,6,2017,3,1,6,1,14,1,1,1,Exposure,"Jones Ranch, near Falfurrias, Brooks County, Texas",U.S. Border Patrol / South Texas Human Rights Center,5,Central America to US,Northern America,27.0227822,-98.5412384
2017-06-20,20,6,2017,3,1,6,1,14,1,1,1,"Exposure, Dehydratio","Héctor López Ranch, near Falfurrias, Brooks County, Texas",U.S. Border Patrol / South Texas Human Rights Center,5,Central America to US,Northern America,27.2196887,-98.1665859
2017-06-20,20,6,2017,3,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"El Tepejuaje Ranch, near Falfurrias, Brooks County, Texas",U.S. Border Patrol / South Texas Human Rights Center,5,Central America to US,Northern America,27.152473267425,-98.20047633164101
2017-06-20,20,6,2017,2,2,6,2,14,1,2,1,"Dehydration, Harsh weather/lack of adequate shelter","Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,22.535216962741,23.1609481875
2017-06-19,19,6,2017,1,1,7,7,14,1,1,1,Drowning,Unspecified location between Libya and Italy,"IOM Italy, UNHCR",4,Central Mediterranea,Uncategorized,34.1847448,11.8777545
2017-06-18,18,6,2017,1,7,6,7,14,1,1,1,Drowning,"Bodies retrieved north west of Az Zawiyah, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8447102,12.592091
2017-06-18,18,6,2017,1,9,6,9,14,1,1,1,Drowning,"Bodies retrieved in Tajoura, east of Tripoli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8864058,13.3787551
2017-06-18,18,6,2017,3,1,6,1,14,1,1,1,Unknown,"Remote canyon road in San Juan Capistrano, Orange County, California",AP,3,Central America to US,Northern America,33.5063335,-117.6838078
2017-06-18,18,6,2017,5,3,6,3,14,1,3,1,Dehydratio,"Séguédine, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,20.219331160231,12.910548876172
2017-06-18,18,6,2017,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, near 1400 International Boulevard, Hidalgo, Hidalgo County, Texas, USA",Hidalgo County Sheriff's Office,5,Central America to US,Northern America,26.118255013592,-98.265210034177
2017-06-17,17,6,2017,1,1,110,110,25,1,1,1,Drowning,"Off the coast of Zuwarah, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8622936,12.530664
2017-06-17,17,6,2017,1,5,6,5,135,1,1,1,Drowning,"Off the coast of Sabratha, Libya",UNHCR,4,Central Mediterranea,Uncategorized,32.8622936,12.530664
2017-06-17,17,6,2017,1,1,6,0,14,1,1,1,Drowning,"Off the coast of Sabratha, Libya",UNHCR,4,Central Mediterranea,Uncategorized,32.8622936,12.530664
2017-06-17,17,6,2017,1,1,6,0,14,1,1,1,Drowning,"Off the coast of Sabratha, Libya",UNHCR,4,Central Mediterranea,Uncategorized,32.8622936,12.530664
2017-06-17,17,6,2017,1,2,6,2,14,1,1,1,Drowning,"Bodies retrieved in Sabratha, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8469698,12.6605155
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.4580901,-113.1639958
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-17,17,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.687804769019,-112.16045726562
2017-06-17,17,6,2017,2,11,6,11,14,1,1,1,"Starvation, Dehydratio","In-Guezzam, Algeria, near the border with Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,19.5708544,5.7693847
2017-06-17,17,6,2017,2,2,6,2,14,1,1,1,Dehydratio,"In-Guezzam, Algeria, near the border with Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,19.5708544,5.7693847
2017-06-17,17,6,2017,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,16.9741689,7.986535
2017-06-17,17,6,2017,11,1,6,1,14,1,1,1,"Starvation, Dehydratio","Nimruz province, Afghanista",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Southern Asia,Southern Asia,29.960203,61.314214
2017-06-16,16,6,2017,11,1,6,1,14,1,1,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Near Mashkel, Balochistan, Pakista",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Southern Asia,Southern Asia,28.506159,62.738594
2017-06-16,16,6,2017,3,1,6,1,14,1,1,1,Unknown,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.057499,-111.6660725
2017-06-16,16,6,2017,3,1,6,1,14,1,1,1,Unknown,"Rancho Stumberg, Dimmit County, Texas, USA",Zocalo,1,Central America to US,Northern America,28.160114819909,-100.2080013125
2017-06-16,16,6,2017,1,5,6,5,14,1,1,1,Unknown,"70 miles southeast of Cartagena, Murcia, Spai",Salvamento Marítimo,5,Western Mediterranea,Uncategorized,37.5748421,-1.0213542
2017-06-16,16,6,2017,1,8,6,8,14,1,1,1,Drowning,"Bodies retrieved in Al Mutred area, west of Az Zawiyah, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.7933071,12.6561106
2017-06-16,16,6,2017,5,12,6,12,14,1,1,1,Shot or stabbed,"Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,19.275260611901,8.41125584375
2017-06-16,16,6,2017,5,8,6,8,14,1,1,1,Vehicle Accide,"Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,19.378932479544,8.6529550625
2017-06-15,15,6,2017,1,3,6,3,14,1,1,1,Drowning,"Bodies retrieved in Janzour, west of Tripoli, Libya","IOM Libya, Libyan Red Cresce",4,Central Mediterranea,Uncategorized,32.8214694,12.9502941
2017-06-15,15,6,2017,1,4,6,4,14,1,1,1,Drowning,"Bodies retrieved in Az Zawiyah, east of Tripoli, Libya","IOM Libya, Libyan Red Cresce",4,Central Mediterranea,Uncategorized,32.7924885,12.7632621
2017-06-15,15,6,2017,1,1,126,126,4,1,1,1,Drowning,Unspecified location off the coast of Libya,IOM Italy,4,Central Mediterranea,Uncategorized,32.150897305344,17.730387775
2017-06-15,15,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-06-15,15,6,2017,11,1,6,1,14,1,1,1,Vehicle Accide,"Sarwan, Sistan and Baluchestan province, Ira",IOM Afghanista,4,Southern Asia,Southern Asia,27.3526033,62.3447815
2017-06-14,14,6,2017,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, Ciudad Acuña, Coahuila, Mexico",Zócalo,3,Central America to US,Central America,29.322646,-101.0053844
2017-06-14,14,6,2017,9,5,6,5,14,1,1,1,Sho,"Syrian/Turkish border, near Hassaniya Hattiya, Idlib province",Syrian Observatory for Human Rights,4,Western Asia,Western Asia,36.0267789,36.2484529
2017-06-13,13,6,2017,1,1,6,1,14,1,1,1,Unknown,"Unspecified location in the Channel of Sicily, off the coast of Italy",LACN24,1,Central Mediterranea,Uncategorized,35.504484127391,13.31546174375
2017-06-13,13,6,2017,1,1,6,1,14,1,1,1,Drowning,"Body retrieved in Sabratha, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.815665881156,12.456513532813
2017-06-13,13,6,2017,3,1,6,1,14,1,1,1,Unknown,"La Gallina Road, near La Joya, Texas, USA",El Nuevo Heraldo,1,Central America to US,Northern America,26.2506568,-98.4916346
2017-12-06,12,6,2017,3,1,6,1,14,1,1,1,Hyperthermia,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7564604,-111.4235289
2017-12-06,12,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-12-06,12,6,2017,1,2,6,2,14,1,2,1,Drowning,"Bodies retrieved in Garabulli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.7917479,13.6921318
2017-12-06,12,6,2017,1,2,6,2,14,1,2,1,Drowning,"Bodies found off the coast of Aguadú, Melilla, Spai",Asociación Pro Derechos Humanos de Andalucía,3,Western Mediterranea,Uncategorized,35.3142067,-2.944928
2017-12-06,12,6,2017,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,16.9741689,7.986535
2017-12-06,12,6,2017,3,1,6,1,14,1,1,1,Drowning,"All American Canal, Calexico, Imperial County, California",Imperial County Coroner's Office,5,Central America to US,Northern America,32.664522788608,-115.52908291028
2017-11-06,11,6,2017,5,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,11.3223834,-5.6983979
2017-10-06,10,6,2017,1,8,6,8,14,1,8,1,Unknown,"Off the coast of Garabulli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.7913436,13.6989041
2017-10-06,10,6,2017,1,1,52,52,79,1,1,1,Drowning,Unspecified location off the coast of Libya,IOM Italy,4,Central Mediterranea,Uncategorized,33.746741521914004,12.9018945375
2017-10-06,10,6,2017,1,8,6,8,14,6,2,1,Drowning,Unspecified location between Libya and Italy,"IOM Italy, Swedish Coast Guard",5,Central Mediterranea,Uncategorized,34.8293173,11.8660779
2017-10-06,10,6,2017,1,1,6,1,14,1,1,1,Drowning,Unspecified location between Libya and Italy,MOAS,4,Central Mediterranea,Uncategorized,34.89587353599,14.06267390625
2017-10-06,10,6,2017,1,1,6,1,14,1,1,1,Drowning,Unspecified location between Libya and Italy,"IOM Italy, MSF",4,Central Mediterranea,Uncategorized,34.486805385946,13.26152759375
2017-10-06,10,6,2017,3,1,6,1,14,1,1,1,Drowning,"Río Bravo, Colonia Presidentes, Piedras Negras, Coahuila, Mexico",La Prensa de Monclova,1,Central America to US,Central America,28.6791752,-100.5216602
2017-09-06,9,6,2017,1,1,6,1,14,1,1,1,Drowning,"Isleta del Moro, Cabo de Gata, Almería, Spai",Europa Press,1,Western Mediterranea,Uncategorized,36.7463917,-2.1710412
2017-09-06,9,6,2017,1,1,6,1,14,1,1,1,Drowning,"Near Playa de los Muertos, Cabo de Gata, Almería, Spai","Salvamento Marítimo, Europa Press",5,Western Mediterranea,Uncategorized,36.9535799,-1.9029405
2017-09-06,9,6,2017,5,1,6,1,91,1,1,1,Unknown,"Desert outside Dirkou, Niger",IOM Niger,4,Western Africa,Western Africa,19.12634,12.7798059
2017-09-06,9,6,2017,1,1,6,1,14,1,1,1,Sho,"Near Sabratha, west of Tripoli, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.8768429,13.1020327
2017-08-06,8,6,2017,3,1,6,1,14,1,1,1,Hyperthermia,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,32.0328566,-111.3401521
2017-08-06,8,6,2017,10,1,6,1,14,1,1,1,Train Accident,"Near Tattenhausen, Germany",Abend Zeitung,3,Western Europe,Western Europe,47.9228547,12.0702646
2017-07-06,7,6,2017,3,1,6,1,14,1,1,1,Hanging,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9652036,-113.0118945
2017-07-06,7,6,2017,5,9,6,9,14,1,1,1,Vehicle Accide,"Séguédine, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,20.20902150689,12.902309130078
2017-06-06,6,6,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-05-06,5,6,2017,2,7,6,7,28,1,1,1,Suffocatio,"In truck in Garabulli, Libya",IOM Libya,4,Northern Africa,Northern Africa,32.743053,13.7073097
2017-05-06,5,6,2017,2,5,6,5,14,1,5,1,"Harsh weather/lack of adequate shelter, Shot or stabbed","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,24.249297422048997,12.921690375
2017-05-06,5,6,2017,5,15,6,15,14,1,1,1,"Starvation, Dehydration, Vehicle Accide","Séguédine, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,20.323677872537,13.00530595625
2017-05-06,5,6,2017,5,4,6,4,14,1,4,1,Vehicle Accide,"Séguédine, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,20.2,12.9833333
2017-04-06,4,6,2017,1,19,6,19,14,9,8,2,Drowning,"Bodies washed up to Zarzis, Tunisia",IOM Tunisia,4,Central Mediterranea,Uncategorized,33.5171255,11.1163723
2017-04-06,4,6,2017,1,2,6,2,14,1,2,1,Drowning,"Bodies washed up to Houmt Souk Jerba, Tunisia",IOM Tunisia,4,Central Mediterranea,Uncategorized,33.881101,10.8658187
2017-04-06,4,6,2017,10,9,6,9,7,1,1,1,Vehicle Accide,"In minibus on highway near Pazardjik, Bulgaria, near border with Greece and Turkey",Deutsche Welle,1,Western Balkans,Eastern Europe,41.7309539,26.0817814
2017-04-06,4,6,2017,2,2,6,2,14,2,1,1,"Dehydration, Vehicle Accide","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,25.306616844912,13.8445419375
2017-03-06,3,6,2017,1,4,6,4,125,1,1,1,Unknown,"Unspecified location in the Channel of Sicily, off the coast of Italy",Save the Childre,4,Central Mediterranea,Uncategorized,36.63834893812,13.129158695313
2017-03-06,3,6,2017,2,1,6,1,14,1,1,1,Fall from truck,"Shouhadd Mdaken, Azzawya, east of Tripoli, Libya",IOM Libya,4,Northern Africa,Northern Africa,32.780348850137,12.712806929981001
2017-03-06,3,6,2017,2,4,6,4,14,1,1,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter, Sexual abuse","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.002687700559,12.48223725
2017-02-06,2,6,2017,9,1,6,1,14,1,1,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter","Van province, Turkey",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Western Asia,Western Asia,37.942871,44.190806
2017-01-06,1,6,2017,10,1,6,1,14,1,1,1,Train Accident,"Train station in Dialogi, Greece",IOM Greece,4,Western Balkans,Southern Europe,37.9603066,23.7261772
2017-01-06,1,6,2017,7,1,6,1,14,1,1,1,Unknown,"Near train tracks, Parras de la Fuente, Coahuila, Mexico",Multimedios,1,Central America to US,Central America,25.4508878,-102.2144018
2017-01-06,1,6,2017,2,3,6,3,14,1,1,1,Unknown,"Found dead in Sebha, Libya",IOM Libya,4,Northern Africa,Northern Africa,27.0087129,14.4490398
2017-05-31,31,5,2017,5,44,6,44,6,17,1,6,Dehydratio,"Desert outside Dirkou, Niger","BBC, Reuters, IOM Niger",4,Western Africa,Western Africa,19.2078834,12.4693292
2017-05-31,31,5,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.7271107,-112.4825321
2017-05-31,31,5,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.6113262,-112.1063838
2017-05-31,31,5,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.9971242,-112.2272669
2017-05-31,31,5,2017,1,13,6,13,14,1,1,1,Unknown,Off the coast of Tunisia,IOM Tunisia,4,Central Mediterranea,Uncategorized,34.019057135486996,10.049736548828
2017-05-31,31,5,2017,2,10,6,10,14,1,1,1,Sho,"Tripoli, Libya",MHub,2,Northern Africa,Northern Africa,32.888362601405,13.209191083203
2017-05-31,31,5,2017,2,12,6,12,14,1,1,1,Dehydratio,"Sahara Desert, between Agadez, Niger and Sabha, Libya",MHub,2,Northern Africa,Northern Africa,22.88290158377,11.9049081875
2017-05-31,31,5,2017,2,1,6,1,14,1,1,1,Unknown,"Tripoli, Libya",MHub,2,Northern Africa,Northern Africa,32.884902952165,13.181725262891
2017-05-31,31,5,2017,2,2,6,2,14,1,1,1,Starvatio,"Tripoli, Libya",MHub,2,Northern Africa,Northern Africa,32.891612081279,13.219753215638
2017-05-31,31,5,2017,2,5,6,5,14,1,1,1,Starvatio,"Tripoli, Libya",MHub,2,Northern Africa,Northern Africa,32.8872094,13.1913383
2017-05-30,30,5,2017,11,1,6,1,14,1,1,1,Vehicle Accide,"Bam, Kerman province, Ira",IOM Afghanista,4,Southern Asia,Southern Asia,29.0984956,58.337468
2017-05-30,30,5,2017,11,1,6,1,14,1,1,1,Vehicle Accide,"Yazd province, Ira",IOM Afghanista,4,Southern Asia,Southern Asia,31.8974232,54.3568562
2017-05-30,30,5,2017,3,1,6,1,14,1,1,1,Drowning,"Rio Bravo, Puente Internacional II, Nuevo Laredo, Tamaulipas, Mexico",Hoy Tamaulipas,3,Central America to US,Central America,27.5376177,-99.4540452
2017-05-30,30,5,2017,3,1,6,1,14,1,1,1,Drowning,"Rio Bravo, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,1,Central America to US,Central America,26.1025497,-98.365442
2017-05-30,30,5,2017,2,2,6,2,14,1,1,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter, Suffocatio","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,25.107814234358,12.921690375
2017-05-30,30,5,2017,5,4,6,4,14,1,1,4,"Excessive Physical Abuse, Shot or stabbed","Bornu, Nigeria, at the border with Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,12.345994049335001,13.965050425
2017-05-29,29,5,2017,7,1,6,1,14,1,1,1,Train Accident,"Train tracks near Calle Porfirio Diaz, Castaños, Coahuila, Mexico",Zocalo,1,Central America to US,Central America,26.7865583,-101.4323641
2017-05-29,29,5,2017,1,10,10,20,14,2,8,1,Drowning,Unspecified location between North Africa and Italy,IOM Italy,4,Central Mediterranea,Uncategorized,34.3790092,15.2488504
2017-05-29,29,5,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.8972199,-112.4287041
2017-05-29,29,5,2017,3,1,6,1,14,1,1,1,Dehydratio,"Found unconscius in the desert near Eagle Pass, Texas, USA - died in hospital in Fort Dunca",La Prensa de Monclova,1,Central America to US,Northern America,28.7126267,-100.4589115
2017-05-29,29,5,2017,5,1,6,1,14,1,1,1,Shot or stabbed,"Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Western Africa,Western Africa,19.088486032748,8.23547459375
2017-05-29,29,5,2017,1,1,10,10,14,1,1,1,Unknown,Unspecified location between North Africa and Italy,UNHCR,4,Central Mediterranea,Uncategorized,34.399956108775,13.88848725
2017-05-28,28,5,2017,11,1,6,1,14,1,1,1,Excessive Physical Abuse,"Unspecified location near the border with Afghanistan, Pakista",Mixed Migration Monitoring Mechanism Initiative (4mi),2,Southern Asia,Southern Asia,29.20885,63.043307
2017-05-28,28,5,2017,2,1,6,1,14,1,1,1,Vehicle Accide,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,25.584393029822998,13.712706
2017-05-28,28,5,2017,2,1,6,1,14,1,1,1,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,27.0087129,14.4490398
2017-05-28,28,5,2017,5,2,6,2,14,2,1,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter, Suffocatio","Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,Northern Africa,17.477856190732,8.36007015625
2017-05-27,27,5,2017,1,2,18,20,14,1,1,1,Drowning,Unspecified location between North Africa and Italy,IOM Italy,4,Central Mediterranea,Uncategorized,33.23486391,12.46703829
2017-05-27,27,5,2017,1,33,24,57,14,13,1,7,Drowning,Unspecified location between North Africa and Italy,"UNHCR, ICRC",4,Central Mediterranea,Uncategorized,34.4968003,14.8203836
2017-05-27,27,5,2017,1,1,6,1,126,1,1,1,Unknown,Unspecified location near the coast of Tunisia between Libya and Italy,IOM Tunisia,4,Central Mediterranea,Uncategorized,36.0163981,11.3382081
2017-05-27,27,5,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-05-27,27,5,2017,3,1,6,1,14,1,1,1,Skeletal remains,Pima County (see spreadsheet for exact location),Pima County Office of the Medical Examiner,5,Central America to US,Northern America,31.5916296,-112.6768115
2017-05-27,27,5,2017,7,1,6,1,14,1,1,1,Fall from trai,"Train tracks, KM 114, near Tres Valles, Veracruz, Mexico",Canal 44,1,Central America to US,Central America,18.2924915,-96.2979667
2017-05-27,27,5,2017,1,7,6,7,14,1,1,1,Drowning,Unspecified location between North Africa and Italy,IOM Italy,4,Central Mediterranea,Uncategorized,33.47719529,13.02556094
2017-05-26,26,5,2017,1,1,6,1,14,1,1,1,Drowning,"Body recovered near Surman, Libya",IOM Libya,4,Central Mediterranea,Uncategorized,32.795371,12.566804
