Web ID,Region of Incident,Reported day,Reported Month,Reported Year,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Source Quality,Migration Route,URL,UNSD Geographical Grouping,Longitude,Latitude
40826,North Africa,19,Oct,2015,3,6,3,14,1,1,1,"Starvation, Dehydration, Excessive Physical Abuse, Sexual abuse, Shot, Stabbed","Sinai, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,30.669922000000,32.739319000000
40834,North Africa,19,Oct,2015,2,6,2,14,1,1,1,"Starvation, Harsh conditions, Suffocation","In the desert under small mountain , Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,17.529297000000,32.915100000000
41080,North Africa,19,Oct,2015,5,6,5,14,1,1,1,Vehicle Accident,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,17.665283000000,34.049500000000
40430,US-Mexico Border,18,Oct,2015,1,6,1,14,1,1,1,Drowning,"Rio Grande, near El Patinadero, Nuevo Laredo City",La Jornada,1,Central America to US,http://bit.ly/1SufxFk,Central America,27.475305300000,-99.486182800000
40992,Mediterranean,18,Oct,2015,1,6,1,14,1,1,1,Unknown,Off the coast of Farmakonisi,Hellenic Coast Guard via IOM Greece,5,Eastern Mediterranean,http://www.hcg.gr/node/11295,Uncategorized,38.375528800000,25.716800500000
41060,South Asia,18,Oct,2015,20,6,20,14,1,1,1,Vehicle Accident,between Tehran and the central city of Qom,"Dunya News, others",3,Western Asia,http://bit.ly/1V35Hbo,Western Asia,35.199293000000,51.020506000000
40429,Mediterranean,17,Oct,2015,4,3,7,14,4,2,5,Drowning,Off the coast of Kalymnos,Hellenic Coast Guard via IOM Greece,5,Eastern Mediterranean,"http://www.hcg.gr/node/11292, http://bit.ly/1OI28aQ",Uncategorized,38.164685800000,26.747187400000
40604,North Africa,17,Oct,2015,2,6,2,14,1,1,1,"Harsh conditions, Vehicle Accident","In a desert far from Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,20.515686000000,28.262878000000
40428,Mediterranean,16,Oct,2015,13,6,13,14,5,2,6,Drowning,"Off the coast of Ayvac?k; Turkey, en route to Lesvos",Hurriyet Daily News,1,Eastern Mediterranean,http://bit.ly/1RnKlDw,Uncategorized,39.416200000000,26.407400000000
40632,US-Mexico Border,16,Oct,2015,1,6,1,14,1,1,1,Hyperthermia,Pima County,Pima County Office of the Medical Examiner,5,Central America to US,,Northern America,31.621437300000,-111.930093400000
40855,Europe,16,Oct,2015,1,6,1,14,1,1,1,Train Accident,"Channel Tunnel, , France",La Voix du Nord,1,Calais to United Kingdom,http://bit.ly/1n6aJsz,Western Europe,51.007732100000,1.422840100000
41010,US-Mexico Border,16,Oct,2015,1,6,1,14,1,1,1,Skeletal remains,Pima County,Pima County Office of the Medical Examiner,5,Central America to US,,Northern America,31.621437300000,-111.930093400000
41079,North Africa,16,Oct,2015,1,6,1,14,1,1,1,Vehicle Accident,"Aswan, Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,24.088928000000,32.904114000000
40427,Mediterranean,15,Oct,2015,7,1,8,14,2,1,4,Drowning,Off the coast of Lesvos,"AFP, NYT, IOM",4,Eastern Mediterranean,"http://nyti.ms/1PljKcF, http://bit.ly/1kafH6u",Uncategorized,39.283600000000,26.505700000000
40684,Europe,15,Oct,2015,1,6,1,14,1,1,1,Shot,"near border town of Sredets, Bulgaria",BBC,1,Western Balkans,http://bbc.in/1LR7VnP,Eastern Europe,42.345200000000,27.181300000000
40730,Horn of Africa,15,Oct,2015,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Bula hawo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,,Eastern Africa,3.923889000000,41.875122000000
40833,North Africa,15,Oct,2015,1,6,1,14,1,1,1,"Starvation, Harsh conditions, Suffocation","Near to Aswan , Egypt",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,24.092333600000,32.882662000000
40850,Europe,15,Oct,2015,1,6,1,14,1,1,1,Train Accident,"alongside a train platform in Coquelles, France",Reuters,1,Western Europe,http://reut.rs/1OHpRGz,Western Europe,50.936400000000,1.799950000000
41009,US-Mexico Border,15,Oct,2015,1,6,1,14,1,1,1,Skeletal remains,Pima County,Pima County Office of the Medical Examiner,5,Central America to US,,Northern America,31.621437300000,-111.930093400000
41049,Europe,15,Oct,2015,1,6,1,14,1,1,1,Vehicle Accident,"Motorway close to the Channel Tunnel near Calais , France",Calais Migrant Solidarity,4,Calais to United Kingdom,http://bit.ly/22N7qH6,Western Europe,50.951290000000,1.858686000000
40293,Horn of Africa,14,Oct,2015,1,6,1,14,1,1,1,Dehydration,"Between Garowe and Kardo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Eastern Africa,,Eastern Africa,9.107727000000,48.933105000000
40424,Central America,14,Oct,2015,1,6,1,14,1,1,1,Drowning,"in a canal in the city of Reynosa, Tamaulipas, Mexico",102Nueve,1,Central America to US,http://bit.ly/1QV0swL,Central America,26.102091000000,-98.304259000000
40425,Mediterranean,14,Oct,2015,3,6,3,14,2,1,2,Drowning,Off the coast of Lesvos,"Reuters, IOM",4,Eastern Mediterranean,http://reut.rs/1VTDdFt,Uncategorized,39.283600000000,26.505700000000
40426,Mediterranean,14,Oct,2015,7,2,9,14,4,4,5,Drowning,"Off the coast of Izmir, en route to Samos",Washington Post,3,Eastern Mediterranean,"http://wapo.st/1MGQ8EZ, http://reut.rs/1SBYIF2",Uncategorized,37.471039000000,27.022180000000
40681,US-Mexico Border,14,Oct,2015,1,6,1,14,1,1,1,Shot,Pima County,Pima County Office of the Medical Examiner,5,Central America to US,,Northern America,31.621437300000,-111.930093400000
41008,US-Mexico Border,14,Oct,2015,1,6,1,14,1,1,1,Skeletal remains,Pima County,Pima County Office of the Medical Examiner,5,Central America to US,,Northern America,31.621437300000,-111.930093400000
41044,Europe,14,Oct,2015,1,6,1,14,1,1,1,Vehicle Accident,"M20 highway, near junction 8 for Leeds, near Maidestone, Kent, England, UK",Daily Mail,1,Northern Europe,http://dailym.ai/1WmVWHU,Northern Europe,51.299076000000,0.516880000000
40423,Mediterranean,13,Oct,2015,1,1,2,14,1,1,1,Drowning,"Off the coast of Melilla, Spain",Asociación Pro Derechos Humanos de Andalucía,3,Western Mediterranean,http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf,Uncategorized,35.296428600000,-2.942810000000
40729,North Africa,13,Oct,2015,1,6,1,14,1,1,1,Sickness and lack of access to medicines,"Wad Madani, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),2,Northern Africa,,Northern Africa,14.393127000000,33.539307000000
